"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Tommy Edman","STL","138","595","547","146","29","5","11","75","55","36","90","6","21","5","",".266",".317",".397",".714",".309","96","","2.1","","94.3","19470"
"Yandy Díaz","TBR","117","481","417","111","19","1","11","57","51","58","79","3","2","1","",".266",".357",".399",".756",".331","115","","2.1","","498.5","16578"
"Alex Verdugo","BOS","142","599","537","150","34","2","14","75","67","53","94","4","5","2","",".279",".346",".428",".774",".334","107","","2.0","","173.1","17027"
"Marcell Ozuna","ATL","128","545","484","130","21","1","26","76","73","54","115","3","3","1","",".268",".343",".481",".824",".351","117","","2.0","","166.9","10324"
"Adam Frazier","SEA","138","573","515","136","26","3","7","63","50","45","76","8","7","3","",".264",".330",".369",".699",".307","98","","2.0","","416.8","15223"
"Adley Rutschman","BAL","90","365","323","78","17","1","10","40","39","35","75","4","2","1","",".241",".320",".397",".717",".311","94","","2.0","","219.7","sa3011643"
"Josh Rojas","ARI","131","547","484","122","27","4","13","68","56","55","125","3","14","4","",".251",".329",".402",".732",".318","96","","2.0","","262.1","19734"
"Daulton Varsho","ARI","121","461","414","104","23","3","17","59","57","38","98","5","9","2","",".251",".321",".446",".767",".327","102","","2.0","","91.6","19918"
"Mike Yastrzemski","SFG","131","531","466","112","26","4","22","68","67","53","130","7","4","1","",".239",".324",".450",".774",".331","109","","1.9","","299.2","14854"
"César Hernández","WSN","132","571","510","133","22","3","15","69","60","52","119","5","3","1","",".260",".333",".403",".736",".320","98","","1.9","","434.8","10556"
"Max Kepler","MIN","133","558","486","113","25","2","23","72","66","60","106","7","6","2","",".232",".323",".437",".760",".326","107","","1.9","","301.1","12144"
"Ryan McMahon","COL","143","583","518","133","28","3","24","78","76","56","151","4","5","2","",".256",".332",".463",".795",".339","99","","1.9","","156.3","15112"
"Nathaniel Lowe","TEX","141","585","508","130","25","2","19","73","65","69","145","4","4","1","",".256",".347",".425",".772",".335","113","","1.8","","250.0","19566"
"Danny Jansen","TOR","93","337","297","68","14","1","14","41","40","31","72","6","1","0","",".229",".312",".420",".732",".316","96","","1.8","","399.5","16535"
"Tommy Pham","CIN","123","504","433","114","22","2","17","71","55","62","111","6","14","4","",".263",".361",".436",".797",".346","111","","1.8","","244.4","2967"
"AJ Pollock","CHW","110","430","388","102","22","2","20","57","60","32","86","6","6","2","",".262",".325",".482",".807",".341","118","","1.8","","220.7","9256"
"Brian Anderson","MIA","117","470","413","103","19","1","16","56","53","43","113","10","4","1","",".249",".332",".415",".747",".324","106","","1.8","","524.7","18289"
"Ryan Mountcastle","BAL","145","611","560","148","30","2","28","76","82","41","158","5","5","1","",".264",".318",".475",".793",".336","112","","1.8","","124.3","18373"
"Robbie Grossman","DET","136","573","487","118","22","3","16","71","57","76","124","6","14","4","",".242",".348",".400",".749",".328","108","","1.7","","191.3","5254"
"Kyle Higashioka","NYY","88","304","278","57","12","0","13","31","38","21","83","2","0","0","",".205",".265",".395",".660",".283","78","","1.7","","520.1","5517"
"Jorge Soler","MIA","137","585","507","120","22","1","29","74","78","64","154","8","1","0","",".236",".329",".453",".782",".336","114","","1.7","","193.4","14221"
"Ian Happ","CHC","137","545","473","114","22","2","25","70","69","62","155","5","7","2","",".241",".333",".452",".785",".337","109","","1.7","","224.6","17919"
"Mike Moustakas","CIN","128","502","448","110","22","1","24","62","69","43","97","5","1","0","",".245",".317",".461",".778",".331","101","","1.7","","403.8","4892"
"Jacob Stallings","MIA","112","422","376","90","17","0","10","43","43","38","93","4","0","0","",".240",".315",".369",".684",".300","90","","1.7","","469.5","13723"
"Julio Rodríguez","SEA","98","413","374","99","20","2","11","49","45","32","92","5","6","2","",".266",".330",".418",".748",".322","108","","1.7","","221.7","sa3005720"
"C.J. Cron","COL","136","551","483","130","26","2","29","78","81","50","119","12","1","0","",".269",".350",".509",".859",".364","115","","1.6","","123.7","12546"
"Hunter Renfroe","MIL","138","554","500","121","25","1","31","71","84","44","131","5","3","1","",".242",".307",".484",".791",".334","107","","1.6","","162.8","15464"
"Brendan Rodgers","COL","128","531","488","135","30","2","18","68","67","30","111","8","2","1","",".276",".328",".457",".785",".336","96","","1.6","","167.3","17907"
"Aaron Hicks","NYY","106","429","367","83","16","1","16","53","47","55","94","3","3","1","",".225",".330",".403",".733",".320","103","","1.6","","530.3","5297"
"Alejandro Kirk","TOR","97","359","318","82","17","0","12","44","43","33","52","4","1","0","",".259",".335",".430",".766",".330","105","","1.6","","213.9","22581"
"Wilmer Flores","SFG","110","408","367","98","18","1","16","49","53","32","57","4","1","0","",".267",".329",".452",".781",".334","111","","1.6","","453.9","5827"
"Nick Senzel","CIN","100","379","342","93","22","2","10","50","42","30","70","3","11","3","",".271",".332",".437",".769",".330","101","","1.6","","384.6","19293"
"Isiah Kiner-Falefa","NYY","130","546","503","134","22","3","7","62","48","31","79","8","12","5","",".265",".316",".362",".678",".297","88","","1.6","","292.8","16512"
"Seiya Suzuki","CHC","125","519","454","114","25","2","19","64","61","54","117","7","8","3","",".252",".338",".439",".777",".334","107","","1.5","","999.0","sa3018052"
"Ha-Seong Kim","SDP","114","399","360","84","18","2","12","46","43","32","84","4","8","2","",".233",".300",".392",".692",".299","89","","1.5","","361.0","27506"
"Manny Piña","ATL","70","237","213","51","9","0","9","29","29","18","54","4","1","0","",".238",".308",".418",".726",".313","92","","1.5","","580.1","2829"
"Manuel Margot","TBR","115","439","397","100","19","3","10","54","43","35","73","2","15","5","",".252",".315",".391",".706",".306","98","","1.5","","424.6","14712"
"Jesús Sánchez","MIA","131","533","486","123","23","3","20","63","66","39","138","4","4","1","",".252",".311",".439",".750",".319","103","","1.5","","236.6","19913"
