"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Carson Kelly","ARI","102","423","366","88","17","1","16","52","52","47","88","5","1","0","",".240",".332",".424",".757",".327","102","","-0.5","-0.8","","0.4","5.8","2.1","","278.1","13620"
"Tony Kemp","OAK","118","483","414","106","21","3","9","55","46","55","69","8","9","3","",".256",".351",".385",".736",".326","110","","0.0","-2.1","","5.9","-1.2","2.1","","455.8","14894"
"Miguel Rojas","MIA","130","518","470","125","25","2","10","59","52","35","71","6","11","4","",".266",".322",".389",".711",".309","96","","-0.3","0.5","","-2.9","7.0","2.1","","508.4","7802"
"Luis Arraez","MIN","131","570","507","151","28","5","5","71","52","52","56","3","5","2","",".299",".365",".405",".770",".336","113","","0.2","-0.4","","9.6","-7.9","2.1","","370.0","18568"
"Whit Merrifield","KCR","149","689","629","174","37","3","14","90","62","43","103","6","29","8","",".277",".327",".411",".738",".319","100","","2.5","-1.3","","2.4","-4.7","2.1","","33.2","11281"
"Myles Straw","CLE","130","544","474","124","24","1","5","61","44","58","104","3","23","6","",".261",".343",".347",".690",".308","94","","2.4","1.7","","-1.6","3.8","2.1","","128.4","17620"
"Chris Taylor","LAD","149","606","528","129","29","4","19","74","73","63","167","7","9","3","",".245",".331",".420",".751",".325","105","","1.0","-1.8","","4.9","-4.3","2.1","","141.5","13757"
"Michael Conforto","","117","497","421","107","22","1","20","65","65","61","109","9","3","1","",".254",".358",".453",".811",".350","121","","-0.2","-3.0","","12.6","-8.8","2.1","","241.8","16376"
"Brandon Belt","SFG","122","524","448","109","22","2","25","70","76","66","129","5","4","2","",".244",".346",".470",".816",".348","121","","-1.4","1.0","","12.4","-9.3","2.0","","240.5","10264"
"Marcell Ozuna","ATL","141","598","528","139","24","1","28","80","87","60","133","4","3","1","",".264",".341",".472",".812",".347","114","","-0.4","-0.7","","10.3","-9.7","2.0","","166.9","10324"
"Tommy La Stella","SFG","107","478","426","117","23","2","13","62","53","41","49","5","2","1","",".274",".342",".429",".771",".333","111","","-1.0","-2.2","","5.6","-1.2","2.0","","566.7","12371"
"Austin Hays","BAL","136","591","542","139","27","3","25","74","77","34","122","8","7","3","",".256",".307",".459",".766",".326","105","","-0.3","3.1","","3.2","-3.3","2.0","","252.8","19363"
"Nicky Lopez","KCR","136","548","487","130","23","4","5","61","48","48","76","5","14","5","",".266",".336",".364",".699",".309","93","","0.9","1.7","","-3.8","5.2","2.0","","256.5","19339"
"Lorenzo Cain","MIL","123","546","484","129","24","1","13","69","57","48","101","5","16","5","",".265",".337",".399",".736",".321","99","","1.1","1.4","","0.2","1.7","2.0","","495.6","9077"
"Adam Frazier","SEA","126","563","505","133","26","3","9","67","50","42","74","8","8","4","",".264",".328",".380",".708",".309","100","","0.3","-1.6","","0.1","0.5","2.0","","416.8","15223"
"Jonathan Schoop","DET","141","623","574","152","28","2","24","77","78","32","128","9","2","1","",".264",".311",".445",".756",".324","105","","-0.4","-3.5","","3.2","-4.7","2.0","","219.6","11265"
"J.D. Martinez","BOS","150","653","580","157","34","2","31","89","99","62","154","5","1","1","",".270",".343",".497",".841",".355","121","","-2.4","-0.9","","14.7","-17.3","2.0","","88.4","6184"
"Nick Madrigal","CHC","113","432","393","117","20","5","6","52","46","27","35","6","9","3","",".297",".349",".421",".770",".334","107","","-0.3","-0.1","","3.5","1.8","2.0","","385.2","20521"
"Brendan Rodgers","COL","128","542","500","140","29","3","21","69","76","29","106","7","1","1","",".279",".326",".474",".800",".341","100","","-0.4","0.7","","-0.7","2.3","2.0","","167.3","17907"
"Eugenio Suárez","SEA","134","565","493","106","18","1","27","67","74","58","167","8","2","1","",".215",".305",".420",".725",".313","102","","-1.9","-1.8","","-0.2","0.5","2.0","","209.4","12552"
"Eduardo Escobar","NYM","138","575","522","126","24","3","23","67","75","44","119","3","2","1","",".241",".302",".432",".734",".313","101","","-0.9","-1.5","","-0.4","0.8","1.9","","203.7","6153"
