"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Willson Contreras","CHC","141","573","494","119","23","1","24","73","76","58","153","16","5","3","",".240",".337",".439",".776",".336","","-0.2","-1.8","","2.4","","109.9","11609"
"Miguel Rojas","MIA","130","560","511","136","27","2","9","62","53","37","74","6","12","4","",".267",".322",".383",".704",".307","","3.3","-0.2","","2.4","","508.4","7802"
"Nicky Lopez","KCR","136","588","524","141","24","5","5","68","46","49","79","5","16","5","",".269",".335",".361",".696",".308","","5.1","1.1","","2.4","","256.5","19339"
"Jeremy Peña","HOU","126","546","499","125","19","4","20","57","59","32","136","9","10","5","",".250",".305",".425",".729",".313","","-0.6","-0.4","","2.4","","406.4","sa876320"
"Aaron Hicks","NYY","126","546","459","105","20","2","19","72","67","78","124","5","6","2","",".228",".343",".408",".751",".329","","-3.7","0.5","","2.4","","530.3","5297"
"Nathaniel Lowe","TEX","141","609","526","137","25","2","23","78","77","75","150","4","5","1","",".261",".355",".446",".801",".346","","-1.7","-0.2","","2.4","","250.0","19566"
"Keibert Ruiz","WSN","104","414","376","101","19","1","18","50","59","30","51","4","0","0","",".269",".328",".465",".793",".339","","-0.6","-0.5","","2.4","","146.4","19610"
"Myles Straw","CLE","130","560","495","132","23","2","4","68","41","57","108","3","26","6","",".266",".342",".348",".690",".308","","3.7","2.9","","2.3","","128.4","17620"
"Austin Meadows","TBR","136","588","521","131","29","3","28","79","92","55","129","6","7","3","",".252",".329",".482",".810",".343","","0.1","-1.3","","2.3","","155.4","15672"
"Mike Zunino","TBR","86","339","305","61","12","1","20","43","50","26","120","5","1","0","",".202",".275",".448",".723",".308","","1.8","-0.5","","2.3","","258.0","13265"
"Tony Kemp","OAK","118","511","436","113","21","3","10","61","47","59","70","8","10","4","",".259",".354",".389",".744",".328","","-2.3","0.0","","2.3","","455.8","14894"
"Whit Merrifield","KCR","149","644","592","166","35","4","12","85","59","38","95","5","28","7","",".281",".327",".410",".737",".318","","2.4","2.7","","2.3","","33.2","11281"
"Michael Brantley","HOU","125","539","490","144","29","2","13","70","61","39","64","5","3","1","",".295",".350",".442",".792",".342","","-0.2","-0.7","","2.3","","254.4","4106"
"Mike Yastrzemski","SFG","133","574","505","122","29","4","24","77","70","55","145","8","5","2","",".241",".322",".453",".775",".331","","-0.1","-0.1","","2.3","","299.2","14854"
"Josh Bell","WSN","147","637","553","148","29","2","32","88","106","74","122","4","0","1","",".267",".355",".498",".853",".361","","-4.1","-2.3","","2.3","","131.3","13145"
"Jean Segura","PHI","138","595","544","153","28","3","13","74","63","38","83","7","9","4","",".281",".334",".417",".751",".324","","0.1","0.5","","2.3","","207.7","5933"
"Mitch Haniger","SEA","141","609","541","134","25","2","30","87","85","52","152","9","3","0","",".247",".320",".466",".786",".335","","-0.2","-0.8","","2.3","","108.7","14274"
"Daulton Varsho","ARI","125","525","470","119","24","4","21","68","65","45","111","5","11","3","",".253",".323",".450",".773",".330","","-1.9","1.0","","2.3","","91.6","19918"
"José Abreu","CHW","154","665","593","155","32","2","31","85","109","50","149","15","1","0","",".262",".331",".478",".809",".343","","-2.0","-1.2","","2.3","","79.7","15676"
