"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","ADP","playerid"
"Anthony Swarzak","ARI","1","1","0","1","4.54","0","12","12.0","11","6","2","12","5","1.41","9.13","4.05","4.58","0.0","999.0","7466"
"Nick Vincent","TEX","0","0","0","1","4.80","0","6","6.0","6","3","1","5","2","1.34","7.77","2.71","4.79","0.0","999.0","7555"
"Anderson Espinoza","SDP","0","0","0","0","4.54","0","5","5.0","5","3","1","5","2","1.40","9.78","4.27","4.51","0.0","999.0","sa872856"
"Sean Reid-Foley","NYM","0","0","0","1","4.36","0","4","4.0","3","2","1","4","2","1.43","10.04","5.13","4.65","0.0","999.0","17034"
"Adam Warren","NYY","0","0","0","1","4.66","0","4","4.0","4","2","1","4","2","1.39","8.19","3.62","4.79","0.0","999.0","9029"
"Josh Osich","CIN","0","0","0","1","4.64","0","4","4.0","4","2","1","4","1","1.36","9.08","3.36","4.60","0.0","999.0","11528"
"Stetson Allie","TBR","0","0","0","0","4.54","0","5","5.0","5","3","1","5","2","1.40","9.78","4.27","4.51","0.0","999.0","sa548192"
"Silvino Bracho","SFG","0","0","0","1","4.21","0","6","6.0","6","3","1","6","2","1.30","9.64","3.41","4.25","0.0","999.0","15051"
"Samuel Clay","","0","0","0","1","4.48","0","4","4.0","4","2","0","4","2","1.60","8.18","5.58","4.65","0.0","999.0","sa828815"
"Damon Jones","","0","0","0","1","4.51","0","5","5.0","4","3","1","5","3","1.54","9.78","5.78","4.73","0.0","999.0","sa3004862"
"Nick Mears","","1","1","0","1","4.40","0","17","17.0","16","8","2","19","8","1.40","9.85","4.36","4.51","0.0","999.0","25376"
"Ian Hamilton","MIN","0","0","0","1","4.43","0","3","3.0","3","1","0","3","1","1.37","8.39","3.61","4.56","0.0","999.0","19261"
"Joel Payamps","TOR","0","0","0","1","4.54","0","3","3.0","3","2","0","3","1","1.33","8.11","2.80","4.65","0.0","999.0","14332"
"Nik Turley","CHW","0","0","0","1","4.49","0","5","5.0","5","2","1","5","2","1.42","9.18","4.24","4.68","0.0","999.0","5530"
"Kevin McCarthy","BOS","1","1","0","1","4.66","0","22","22.0","25","11","3","14","8","1.48","5.87","3.26","4.61","0.0","999.0","15240"
"Steven Wright","PIT","0","1","0","1","5.37","2","7","11.0","13","7","2","9","5","1.53","6.78","3.94","5.43","0.0","999.0","8185"
"Eduard Bazardo","","0","0","0","1","4.68","0","3","3.0","3","2","0","3","1","1.37","8.23","3.02","4.67","0.0","999.0","sa873313"
"Arodys Vizcaino","NYM","1","1","0","1","4.23","0","8","8.0","7","4","1","9","4","1.35","10.03","4.11","4.57","0.0","999.0","5498"
"Trevor Hildenberger","NYM","0","0","0","1","4.40","0","5","5.0","5","2","1","4","2","1.38","7.68","3.29","4.57","0.0","999.0","17002"
"Marcus Walden","BOS","0","0","0","1","4.76","0","3","3.0","3","2","0","3","1","1.47","7.78","4.01","4.60","0.0","999.0","8004"
"Jose Quijada","LAA","0","0","0","1","4.46","0","4","4.0","3","2","1","5","2","1.44","10.53","5.24","4.74","0.0","999.0","19200"
"Burch Smith","OAK","2","2","0","1","4.63","0","36","36.0","33","19","6","38","18","1.43","9.55","4.54","4.85","0.0","999.0","12784"
"Luke Bard","LAA","0","0","0","1","4.79","0","3","3.0","3","2","1","3","1","1.36","8.86","3.39","5.06","0.0","999.0","14288"
"Colten Brewer","","2","2","0","1","4.74","0","28","28.0","28","15","4","27","14","1.48","8.66","4.44","4.62","0.0","999.0","12997"
"Tyler Zuber","","1","1","0","1","4.60","0","20","20.0","19","10","3","20","10","1.43","9.11","4.46","4.64","0.0","999.0","20379"
"Francis Martes","HOU","0","0","0","1","4.61","0","5","5.0","4","3","1","6","3","1.50","10.45","5.55","4.73","0.0","999.0","17303"
"Glenn Sparkman","MIN","0","0","0","1","5.21","0","5","5.0","6","3","1","4","1","1.42","6.34","2.57","5.05","0.0","999.0","15200"
"Chris Mazza","TBR","0","0","0","1","4.38","0","8","8.0","8","4","1","7","3","1.36","7.65","3.29","4.55","0.0","999.0","14151"
"Corey Oswalt","NYM","0","0","0","1","4.46","0","3","3.0","3","1","1","3","1","1.29","8.50","2.73","4.61","0.0","999.0","13677"
"Seth Romero","","0","0","0","1","4.90","0","12","12.0","12","7","2","13","6","1.47","9.47","4.53","4.69","0.0","999.0","21333"
"Dylan File","MIL","0","0","0","1","4.72","0","3","3.0","3","2","1","3","1","1.30","7.76","2.25","4.79","0.0","999.0","sa3004197"
"Brad Brach","KCR","0","0","0","1","4.80","0","4","4.0","4","2","1","4","2","1.53","8.07","4.84","4.80","0.0","999.0","6627"
"Juan Minaya","MIN","0","0","0","1","4.73","0","6","6.0","6","3","1","6","3","1.44","8.98","4.37","4.87","0.0","999.0","10341"
"Yohan Ramirez","SEA","0","1","0","1","4.71","0","10","10.0","8","5","1","12","7","1.57","10.42","6.55","4.99","0.0","599.7","19444"
"Phillip Diehl","COL","1","1","0","1","5.21","0","18","18.0","19","10","3","18","8","1.48","8.97","3.82","4.90","0.0","999.0","20030"
"Genesis Cabrera","STL","3","3","9","5","4.24","0","50","50.0","44","24","8","57","24","1.36","10.26","4.27","4.50","0.0","600.4","17490"
"Timothy Cate","WSN","0","0","0","1","4.80","0","4","4.0","4","2","1","3","2","1.46","7.35","3.62","4.90","0.0","999.0","sa3007926"
