"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Franmil Reyes","CLE","147","637","569","146","24","2","40","83","108","59","193","3","4","1","",".256",".326",".512",".839",".353","","0.0","-1.5","","2.3","","119.2","14566"
"Yandy Díaz","TBR","130","560","482","130","23","1","13","68","62","69","91","3","2","1","",".269",".362",".408",".770",".336","","-0.9","-1.0","","2.3","","412.9","16578"
"Willson Contreras","CHC","141","574","494","119","23","1","24","72","75","58","153","16","6","3","",".240",".337",".437",".774",".335","","-0.2","-1.8","","2.3","","112.3","11609"
"Chris Taylor","LAD","146","630","553","137","31","4","20","82","80","64","176","7","11","3","",".247",".330",".428",".758",".327","","-4.5","1.2","","2.3","","135.4","13757"
"Michael Brantley","HOU","125","539","490","144","29","2","13","70","60","39","64","5","3","1","",".295",".350",".441",".791",".341","","-0.2","-0.7","","2.3","","247.3","4106"
"Myles Straw","CLE","130","560","495","132","23","2","4","68","40","56","108","3","26","6","",".267",".342",".347",".689",".307","","3.7","2.8","","2.3","","130.2","17620"
"Mike Zunino","TBR","86","339","305","61","12","1","20","43","49","26","120","5","1","0","",".200",".274",".444",".718",".306","","1.9","-0.5","","2.3","","247.2","13265"
"Jean Segura","PHI","139","602","549","154","28","3","13","78","60","38","84","8","10","4","",".281",".334",".416",".750",".324","","0.1","0.6","","2.3","","202.6","5933"
"Keibert Ruiz","WSN","105","421","384","104","19","1","17","49","58","29","50","4","1","0","",".270",".327",".460",".787",".336","","-0.6","-0.5","","2.3","","143.9","19610"
"Nathaniel Lowe","TEX","144","623","539","141","25","2","23","79","78","75","154","4","6","1","",".261",".354",".442",".795",".344","","-1.7","-0.2","","2.3","","247.5","19566"
"Josh Bell","WSN","147","637","552","147","29","2","31","87","104","74","122","4","0","1","",".267",".355",".496",".851",".360","","-4.1","-2.3","","2.2","","126.5","13145"
"Brandon Belt","SFG","128","553","473","116","24","3","25","75","70","69","137","6","4","2","",".245",".346",".464",".810",".347","","1.8","-1.4","","2.2","","226.0","10264"
"Marcell Ozuna","ATL","149","644","575","152","25","1","29","83","101","62","141","3","4","1","",".263",".337",".466",".803",".343","","0.5","0.0","","2.2","","182.6","10324"
"José Abreu","CHW","154","665","593","155","32","2","31","84","109","50","149","15","1","0","",".261",".331",".476",".807",".343","","-2.0","-1.2","","2.2","","75.6","15676"
"Mitch Haniger","SEA","143","616","548","135","25","2","30","87","85","53","154","9","3","0","",".247",".320",".464",".784",".334","","-0.2","-0.8","","2.2","","108.1","14274"
